what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779071693901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779072076153
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1779072076182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779072080652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779072081904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779072088514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779072098824
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1779072098838
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1779072110890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779072111198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779072113116
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1779072120417
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1779072120417
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1779072120417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779072120433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779072131758
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1779072134904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779072135207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779072136740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779072144468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779072145458
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1779072145774
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1779072147228
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1779072147432
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1779072147440
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1779072161384
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779072178224
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1779072204272
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779072205466
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1779072210063
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779072218837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779072275392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779072337334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779072339668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779073262428
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1779073264142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779073289534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779073300866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779073303509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779073538410
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779073539070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779073543829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779073545163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779073546125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779073547625
