what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779078319762
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1779078322072
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1779078322390
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1779078324862
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1779078327742
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779078342916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1779078379443
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1779078385301
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779078386290
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1779078387214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779078391996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779078394768
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779078407494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779078428752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779078460907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1779078464467
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1779078496215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779078499974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779078502795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779078507987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779078509647
