what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1778905657943
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1778905660173
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1778905673234
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1778905681206
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1778905681222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1778905707347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1778907637069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1778908208314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1778908248888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1778908269610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1778908271610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1778908273782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1778908289595
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1778908291910
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1778908292088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1778908301739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1778908665575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1778908667500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1778908671385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1778908676786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1778908676849
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1778908683675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1778908688819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1778908716680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1778908716741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1778908720194
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1778908726472
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1778908727511
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1778908727527
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1778908728439
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1778908729671
